Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
12/31/2022,560,manly,20380,1899,0,2,17,37,29,12,2
12/30/2022,559,molar,21204,1973,0,4,21,38,26,9,1
12/29/2022,558,havoc,20001,1919,0,2,16,38,30,12,2
12/28/2022,557,impel,20160,1937,0,3,21,40,25,9,1
12/27/2022,556,condo,20879,2012,0,2,17,35,29,14,3
12/26/2022,555,judge,20011,2043,0,2,8,16,26,33,14
12/25/2022,554,extra,15554,1562,1,5,20,35,28,10,1
12/24/2022,553,poise,20281,1911,2,11,34,32,15,6,1
12/23/2022,552,aorta,21937,2112,0,7,26,35,20,10,3
12/22/2022,551,excel,20490,2034,0,1,13,34,34,15,2
12/21/2022,550,lunar,22180,2036,0,5,32,40,17,4,0
12/20/2022,549,third,24137,2261,1,10,47,32,9,2,0
12/19/2022,548,slate,26010,2422,6,14,33,27,13,5,1
12/18/2022,547,taper,22166,2108,0,8,28,30,20,11,3
12/17/2022,546,chord,22336,2088,0,7,39,38,13,3,0
12/16/2022,545,probe,22853,2160,0,6,24,32,24,11,3
12/15/2022,544,rival,22176,2127,0,7,27,35,22,8,1
12/14/2022,543,usual,20824,2048,0,3,20,39,27,10,1
12/13/2022,542,spoke,24101,2224,0,6,31,38,19,5,0
12/12/2022,541,apply,22873,2150,0,5,28,38,22,7,1
12/11/2022,540,naive,21947,2075,1,7,24,32,24,11,1
12/10/2022,539,knock,21157,2041,0,3,18,43,27,8,1
12/9/2022,538,braid,23640,2165,0,10,36,35,14,3,0
12/8/2022,537,infer,21199,1863,0,3,19,33,26,14,3
12/7/2022,536,joust,24899,2388,0,6,29,34,21,8,2
12/6/2022,535,amber,23509,2261,0,6,22,33,24,12,3
12/5/2022,534,woken,23153,2200,0,2,10,25,36,23,4
12/4/2022,533,adore,25577,2398,2,17,32,29,15,5,1
12/3/2022,532,torso,23873,2260,0,4,35,36,17,6,1
12/2/2022,531,chafe,24646,2343,0,6,30,33,19,9,2
12/1/2022,530,eject,22628,2200,0,2,11,35,36,14,2
11/30/2022,529,study,2569,2405,0,6,30,33,19,10,2
11/29/2022,528,undue,23739,2316,0,3,19,35,29,13,2
11/28/2022,527,tepid,26051,2484,0,10,38,35,13,3,0
11/27/2022,526,happy,25206,2356,0,6,28,39,19,6,1
11/26/2022,525,clean,26381,2424,1,17,36,31,12,3,0
11/25/2022,524,itchy,24197,2329,0,8,28,40,18,5,1
11/24/2022,523,feast,27705,2725,5,13,25,27,19,10,2
11/23/2022,522,drive,26663,2451,1,12,32,30,18,6,1
11/22/2022,521,prime,27437,2534,1,10,26,32,21,9,1
11/21/2022,520,axiom,24288,2382,0,5,19,33,27,13,3
11/20/2022,519,brave,24991,2396,1,6,17,27,27,18,5
11/19/2022,518,avert,24749,2400,0,7,26,35,22,9,1
11/18/2022,517,glyph,29208,2899,0,2,23,49,20,5,1
11/17/2022,516,there,27465,2530,0,14,35,33,14,4,0
11/16/2022,515,baker,25576,2541,0,5,16,23,24,22,10
11/15/2022,514,snarl,27475,2650,0,5,21,31,24,15,4
11/14/2022,513,maple,26536,2467,1,6,26,36,21,8,1
11/13/2022,512,inane,25085,2515,0,8,25,30,21,13,3
11/12/2022,511,valet,24660,2356,0,4,22,38,25,9,1
11/11/2022,510,medal,25993,2438,0,5,25,38,23,8,1
11/10/2022,509,unite,27467,2575,1,11,31,33,18,5,1
