Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1,4,27,66,90,99,100,4.130000000000001,0.01689197569142999
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2,6,29,60,84,98,100,4.22,0.017368944760253392
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4,4,17,44,74,96,100,4.64,0.020912360484056102
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2,5,21,51,81,98,100,4.43,0.02092706330389979
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1,10,45,79,95,100,101,3.77,0.019606186638939434
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4,5,20,46,75,96,100,4.57,0.022335121305946826
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3,3,16,45,76,96,99,4.56,0.025202296460377017
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5,5,26,56,80,95,100,4.369999999999999,0.02351254395695169
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1,10,45,79,95,100,101,3.77,0.022610258402953175
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1,10,42,74,92,99,100,3.8199999999999994,0.023639252131349323
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2,9,41,73,91,99,101,3.93,0.025382880956988617
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6,3,14,38,69,95,101,4.869999999999999,0.028087802670287397
1/19/2022,214,point,243964,7094,1,16,37,28,12,4,1,17,54,82,94,98,99,3.47,0.02527955755429011
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1,9,38,72,92,100,101,3.95,0.027008083159810462
1/21/2022,216,prick,241489,7409,1,8,30,33,19,7,1,9,39,72,91,98,99,3.8299999999999996,0.027067114314627348
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3,4,21,54,83,98,101,4.46,0.02836568125256223
1/23/2022,218,crimp,258038,7630,1,5,28,38,20,7,1,6,34,72,92,99,100,3.9599999999999995,0.02826669235243342
1/24/2022,219,knoll,276404,8317,1,1,11,29,33,21,4,2,13,42,75,96,100,4.71,0.032231686805819296
1/25/2022,220,sugar,302348,8708,1,6,25,34,23,9,1,7,32,66,89,98,99,4.000000000000001,0.03150460919523596
1/26/2022,221,whack,331844,10163,1,4,22,37,24,10,2,5,27,64,88,98,100,4.17,0.03361358434651461
1/27/2022,222,mount,296968,11451,1,9,29,33,19,7,1,10,39,72,91,98,99,3.82,0.03450717807162402
1/28/2022,223,perky,313220,11148,1,4,17,30,27,17,4,5,22,52,79,96,100,4.45,0.037539398184316154
1/29/2022,224,could,294687,11592,1,7,29,35,20,8,1,8,37,72,92,100,101,3.9699999999999998,0.037009130962262944
1/30/2022,225,wrung,341314,11524,0,2,18,39,27,12,2,2,20,59,86,98,100,4.35,0.03910589880110083
1/31/2022,226,light,351663,13606,1,10,25,27,19,12,5,11,36,63,82,94,99,4.06,0.03910475398020591
2/1/2022,227,those,361908,14205,1,13,34,30,15,6,1,14,48,78,93,99,100,3.67,0.03869045080090883
2/2/2022,228,moist,358176,14609,3,13,32,29,16,7,1,16,48,77,93,100,101,3.6999999999999997,0.03925030670778209
2/3/2022,229,shard,359679,14813,1,7,22,28,25,14,4,8,30,58,83,97,101,4.300000000000001,0.04078721075672295
2/4/2022,230,pleat,319698,13708,1,10,28,31,19,9,2,11,39,70,89,98,100,3.9200000000000004,0.041183944572799634
2/5/2022,231,aloft,311018,13716,1,4,22,36,25,11,2,5,27,63,88,99,101,4.239999999999999,0.04287796608048846
2/6/2022,232,skill,288228,13340,1,3,17,33,27,16,3,4,21,54,81,97,100,4.42,0.04410034145933676
2/7/2022,233,elder,336236,15369,1,3,13,24,30,24,5,4,17,41,71,95,100,4.709999999999999,0.04628280389136378
2/8/2022,234,frame,305372,13846,1,10,20,24,24,17,3,11,31,55,79,96,99,4.2,0.045708966321274344
2/9/2022,235,humor,304830,13480,1,5,22,34,25,11,2,6,28,62,87,98,100,4.18,0.04534141964554707
2/10/2022,236,pause,278826,10631,1,8,26,32,21,10,2,9,35,67,88,98,100,4.0200000000000005,0.04422136928779976
2/11/2022,237,ulcer,269885,10631,1,4,18,30,28,16,3,5,23,53,81,97,100,4.4,0.038127721231162086
2/12/2022,238,ultra,261521,9310,1,7,23,34,24,10,1,8,31,65,89,99,100,4.07,0.034496174296459604
2/14/2022,240,cynic,287836,10343,1,6,25,33,22,11,2,7,32,65,87,98,100,4.1,0.03954940521028904
2/15/2022,241,aroma,289721,10343,1,6,25,33,22,11,2,7,32,65,87,98,100,4.1,0.03593365666560124
