Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1,4,27,66,90,99,100,4.130000000000001,0.0168919756914299,s,l,u,m,p,1,1,4,0.4820788331866359,0.15809935205183584,0.03952483801295896,1.2693933421607654e-05
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2,6,29,60,84,98,100,4.22,0.0173689447602533,c,r,a,n,k,1,1,4,0.5244975316115651,0.08552915766738661,0.021382289416846653,3.1569567789511536e-05
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4,4,17,44,74,96,100,4.64,0.0209123604840561,g,o,r,g,e,4,2,9,0.5852852149420239,0.04967602591792657,0.012419006479481642,2.8175346033624227e-05
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2,5,21,51,81,98,100,4.43,0.0209270633038997,q,u,e,r,y,1,2,12,0.49767008208640484,0.009935205183585313,0.002483801295896328,0.00045196257747628465
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1,10,45,79,95,100,101,3.77,0.0196061866389394,d,r,i,n,k,1,1,4,0.4640948921515199,0.04794816414686825,0.011987041036717062,0.00042264430516426323
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4,5,20,46,75,96,100,4.57,0.0223351213059468,f,a,v,o,r,1,2,10,0.5115777236835786,0.05874730021598272,0.01468682505399568,0.000171453706531761
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3,3,16,45,76,96,99,4.56,0.025202296460377,a,b,b,e,y,4,2,18,0.553766629625809,0.06090712742980561,0.015226781857451403,6.103635463968047e-05
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5,5,26,56,80,95,100,4.369999999999999,0.0235125439569516,t,a,n,g,y,1,1,8,0.5035907446631069,0.06436285097192225,0.016090712742980563,4.820048003740171e-06
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1,10,45,79,95,100,101,3.77,0.0226102584029531,p,a,n,i,c,1,2,10,0.5218542857380268,0.061339092872570194,0.015334773218142549,9.2408981749812e-05
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1,10,42,74,92,99,100,3.82,0.0236392521313493,s,o,l,a,r,1,2,10,0.7339381065710671,0.15809935205183584,0.03952483801295896,0.00029506128755838504
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2,9,41,73,91,99,101,3.93,0.0253828809569886,s,h,i,r,e,1,2,5,0.6928205414018225,0.15809935205183584,0.03952483801295896,3.850226399227863e-05
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6,3,14,38,69,95,101,4.869999999999999,0.0280878026702873,p,r,o,x,y,1,1,4,0.41138739055703355,0.061339092872570194,0.015334773218142549,0.00015563750054357423
1/19/2022,214,point,243964,7094,1,16,37,28,12,4,1,17,54,82,94,98,99,3.47,0.0252795575542901,p,o,i,n,t,1,2,12,0.5183315927575565,0.061339092872570194,0.015334773218142549,0.002535840361031226
