Id,Date,Contest number,reported_results
1,1/7/2022,202,80630
2,1/8/2022,203,101503
3,1/9/2022,204,91477
4,1/10/2022,205,107134
5,1/11/2022,206,153880
6,1/12/2022,207,137586
7,1/13/2022,208,132726
8,1/14/2022,209,169484
9,1/15/2022,210,205880
10,1/16/2022,211,209609
11,1/17/2022,212,222197
12,1/18/2022,213,220950
13,1/19/2022,214,280622
14,1/20/2022,215,243964
15,1/21/2022,216,273727
16,1/22/2022,217,241489
17,1/23/2022,218,269929
18,1/24/2022,219,258038
19,1/25/2022,220,276404
20,1/26/2022,221,302348
21,1/27/2022,222,331844
22,1/28/2022,223,296968
23,1/29/2022,224,313220
24,1/30/2022,225,294687
25,1/31/2022,226,341314
26,2/1/2022,227,351663
27,2/2/2022,228,361908
28,2/3/2022,229,358176
29,2/4/2022,230,359679
30,2/5/2022,231,319698
31,2/6/2022,232,311018
32,2/7/2022,233,288228
33,2/8/2022,234,336236
34,2/9/2022,235,305372
35,2/10/2022,236,304830
36,2/11/2022,237,278826
37,2/12/2022,238,269885
38,2/13/2022,239,277471
39,2/14/2022,240,261521
40,2/15/2022,241,287836
41,2/16/2022,242,289721
42,2/17/2022,243,342003
43,2/18/2022,244,265238
44,2/19/2022,245,282327
45,2/20/2022,246,273306
46,2/21/2022,247,278731
47,2/22/2022,248,306356
48,2/23/2022,249,277576
49,2/24/2022,250,250674
50,2/25/2022,251,255907
51,2/26/2022,252,248363
52,2/27/2022,253,250413
53,2/28/2022,254,251094
54,3/1/2022,255,240137
55,3/2/2022,256,257304
56,3/3/2022,257,240018
57,3/4/2022,258,203730
58,3/5/2022,259,229895
59,3/6/2022,260,218595
60,3/7/2022,261,218595
61,3/8/2022,262,207473
62,3/9/2022,263,201799
63,3/10/2022,264,208884
64,3/11/2022,265,226349
65,3/12/2022,266,192049
66,3/13/2022,267,179436
67,3/14/2022,268,185406
68,3/15/2022,269,202855
69,3/16/2022,270,217856
70,3/17/2022,271,169071
71,3/18/2022,272,179830
72,3/19/2022,273,156311
73,3/20/2022,274,154987
74,3/21/2022,275,173636
75,3/22/2022,276,160161
76,3/23/2022,277,156785
77,3/24/2022,278,169066
78,3/25/2022,279,150197
79,3/26/2022,280,149507
80,3/27/2022,281,165468
