Id,Date,Contest number,reported_results,predict_data
1,1/7/2022,202,80630,0.0
2,1/8/2022,203,101503,0.0
3,1/9/2022,204,91477,0.0
4,1/10/2022,205,107134,0.0
5,1/11/2022,206,153880,0.0
6,1/12/2022,207,137586,0.0
7,1/13/2022,208,132726,0.0
8,1/14/2022,209,169484,0.0
9,1/15/2022,210,205880,0.0
10,1/16/2022,211,209609,0.0
11,1/17/2022,212,222197,0.0
12,1/18/2022,213,220950,0.0
13,1/19/2022,214,280622,0.0
14,1/20/2022,215,243964,0.0
15,1/21/2022,216,273727,0.0
16,1/22/2022,217,241489,0.0
17,1/23/2022,218,269929,0.0
18,1/24/2022,219,258038,0.0
19,1/25/2022,220,276404,0.0
20,1/26/2022,221,302348,0.0
21,1/27/2022,222,331844,0.0
22,1/28/2022,223,296968,0.0
23,1/29/2022,224,313220,0.0
24,1/30/2022,225,294687,0.0
25,1/31/2022,226,341314,0.0
26,2/1/2022,227,351663,0.0
27,2/2/2022,228,361908,0.0
28,2/3/2022,229,358176,0.0
29,2/4/2022,230,359679,0.0
30,2/5/2022,231,319698,0.0
31,2/6/2022,232,311018,0.0
32,2/7/2022,233,288228,0.0
33,2/8/2022,234,336236,0.0
34,2/9/2022,235,305372,0.0
35,2/10/2022,236,304830,0.0
36,2/11/2022,237,278826,0.0
37,2/12/2022,238,269885,0.0
38,2/13/2022,239,277471,0.0
39,2/14/2022,240,261521,0.0
40,2/15/2022,241,287836,0.0
41,2/16/2022,242,289721,0.0
42,2/17/2022,243,342003,0.0
43,2/18/2022,244,265238,0.0
44,2/19/2022,245,282327,0.0
45,2/20/2022,246,273306,0.0
46,2/21/2022,247,278731,0.0
47,2/22/2022,248,306356,0.0
48,2/23/2022,249,277576,0.0
49,2/24/2022,250,250674,0.0
50,2/25/2022,251,255907,0.0
51,2/26/2022,252,248363,0.0
52,2/27/2022,253,250413,0.0
53,2/28/2022,254,251094,0.0
54,3/1/2022,255,240137,0.0
55,3/2/2022,256,257304,0.0
56,3/3/2022,257,240018,0.0
57,3/4/2022,258,203730,0.0
58,3/5/2022,259,229895,0.0
59,3/6/2022,260,218595,0.0
60,3/7/2022,261,218595,0.0
61,3/8/2022,262,207473,0.0
62,3/9/2022,263,201799,0.0
63,3/10/2022,264,208884,0.0
64,3/11/2022,265,226349,0.0
65,3/12/2022,266,192049,0.0
66,3/13/2022,267,179436,0.0
67,3/14/2022,268,185406,0.0
68,3/15/2022,269,202855,0.0
69,3/16/2022,270,217856,0.0
70,3/17/2022,271,169071,0.0
71,3/18/2022,272,179830,0.0
72,3/19/2022,273,156311,0.0
73,3/20/2022,274,154987,0.0
74,3/21/2022,275,173636,0.0
75,3/22/2022,276,160161,0.0
76,3/23/2022,277,156785,0.0
77,3/24/2022,278,169066,0.0
78,3/25/2022,279,150197,0.0
79,3/26/2022,280,149507,0.0
80,3/27/2022,281,165468,0.0
81,3/28/2022,282,173696,0.0
82,3/29/2022,283,149070,0.0
83,3/30/2022,284,158139,0.0
84,3/31/2022,285,135219,0.0
85,4/1/2022,286,144648,0.0
86,4/2/2022,287,155079,0.0
87,4/3/2022,288,124532,0.0
88,4/4/2022,289,129651,0.0
89,4/5/2022,290,121356,0.0
90,4/6/2022,291,117856,0.0
91,4/7/2022,292,117761,0.0
92,4/8/2022,293,141158,0.0
93,4/9/2022,294,134210,0.0
94,4/10/2022,295,126241,0.0
