Contest number,Word,D,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
202,slump,4.130000000000001,s,l,u,m,p,1,1,4,0.4820788331866359,0.15809935205183584,0.03952483801295896,1.2693933421607654e-05
203,crank,4.22,c,r,a,n,k,1,1,4,0.5244975316115651,0.08552915766738661,0.021382289416846653,3.1569567789511536e-05
204,gorge,4.64,g,o,r,g,e,4,2,9,0.5852852149420239,0.04967602591792657,0.012419006479481642,2.8175346033624227e-05
205,query,4.43,q,u,e,r,y,1,2,12,0.49767008208640484,0.009935205183585313,0.002483801295896328,0.00045196257747628465
206,drink,3.77,d,r,i,n,k,1,1,4,0.4640948921515199,0.04794816414686825,0.011987041036717062,0.00042264430516426323
207,favor,4.57,f,a,v,o,r,1,2,10,0.5115777236835786,0.05874730021598272,0.01468682505399568,0.000171453706531761
208,abbey,4.56,a,b,b,e,y,4,2,18,0.553766629625809,0.06090712742980561,0.015226781857451403,6.103635463968047e-05
209,tangy,4.369999999999999,t,a,n,g,y,1,1,8,0.5035907446631069,0.06436285097192225,0.016090712742980563,4.820048003740171e-06
210,panic,3.77,p,a,n,i,c,1,2,10,0.5218542857380268,0.061339092872570194,0.015334773218142549,9.2408981749812e-05
211,solar,3.82,s,o,l,a,r,1,2,10,0.7339381065710671,0.15809935205183584,0.03952483801295896,0.00029506128755838504
212,shire,3.93,s,h,i,r,e,1,2,5,0.6928205414018225,0.15809935205183584,0.03952483801295896,3.850226399227863e-05
213,proxy,4.869999999999999,p,r,o,x,y,1,1,4,0.41138739055703355,0.061339092872570194,0.015334773218142549,0.00015563750054357423
214,point,3.47,p,o,i,n,t,1,2,12,0.5183315927575565,0.061339092872570194,0.015334773218142549,0.002535840361031226
215,robot,3.95,r,o,b,o,t,4,2,10,0.5680587070909902,0.04535637149028078,0.011339092872570195,0.00018284497386482584
216,prick,3.83,p,r,i,c,k,1,1,4,0.43022366179177096,0.061339092872570194,0.015334773218142549,1.2877091720696541e-05
217,wince,4.46,w,i,n,c,e,1,2,9,0.521619386035117,0.035853131749460046,0.008963282937365011,1.0359596935822651e-05
218,crimp,3.96,c,r,i,m,p,1,1,4,0.44623128695261294,0.08552915766738661,0.021382289416846653,9.256818702319577e-06
219,knoll,4.71,k,n,o,l,l,4,1,4,0.4947825408461083,0.008639308855291577,0.0021598272138228943,1.3954371105967093e-05
220,sugar,4.000000000000001,s,u,g,a,r,1,2,10,0.6183633345365025,0.15809935205183584,0.03952483801295896,0.0003243386027968999
221,whack,4.17,w,h,a,c,k,1,1,4,0.3834057497976872,0.035853131749460046,0.008963282937365011,1.0486903366771639e-05
222,mount,3.82,m,o,u,n,t,1,2,12,0.47685873530230183,0.04622030237580994,0.011555075593952484,0.000529455195312137
223,perky,4.45,p,e,r,k,y,1,1,8,0.5200568684917142,0.061339092872570194,0.015334773218142549,1.9647967754028813e-05
224,could,3.97,c,o,u,l,d,1,2,12,0.4677997669729445,0.08552915766738661,0.021382289416846653,0.0043674749563880145
225,wrung,4.35,w,r,u,n,g,1,1,4,0.39639028160847445,0.035853131749460046,0.008963282937365011,1.7503767439115307e-06
226,light,4.06,l,i,g,h,t,1,1,8,0.4501668703136948,0.03801295896328294,0.009503239740820735,0.001830421919254444
227,those,3.67,t,h,o,s,e,1,2,5,0.6834839429604569,0.06436285097192225,0.016090712742980563,0.0039008779614692177
228,moist,3.7,m,o,i,s,t,1,2,12,0.5901144321328461,0.04622030237580994,0.011555075593952484,3.092390516899722e-05
229,shard,4.300000000000001,s,h,a,r,d,1,1,4,0.6197223253011486,0.15809935205183584,0.03952483801295896,4.152454929051936e-06
230,pleat,3.92,p,l,e,a,t,1,2,6,0.6727618691696369,0.061339092872570194,0.015334773218142549,3.854876869055653e-06
231,aloft,4.239999999999999,a,l,o,f,t,1,2,20,0.572401003528238,0.06090712742980561,0.015226781857451403,7.1850697890412476e-06
232,skill,4.42,s,k,i,l,l,4,1,4,0.5524655287969193,0.15809935205183584,0.03952483801295896,0.00022876838508465428
233,elder,4.709999999999999,e,l,d,e,r,4,2,18,0.7401458435638182,0.031101511879049675,0.007775377969762419,0.00010545500153418154
234,frame,4.2,f,r,a,m,e,1,2,5,0.6207907963027779,0.05874730021598272,0.01468682505399568,0.000665714842529673
235,humor,4.18,h,u,m,o,r,1,2,10,0.4696023725064554,0.029805615550755938,0.0074514038876889845,0.00026128005224645523
236,pause,4.0200000000000005,p,a,u,s,e,1,3,13,0.6987677209901278,0.061339092872570194,0.015334773218142549,6.654719750295954e-05
237,ulcer,4.4,u,l,c,e,r,1,2,18,0.608147029573845,0.014254859611231102,0.0035637149028077755,1.9309851581771653e-05
238,ultra,4.07,u,l,t,r,a,1,2,17,0.6191781469343202,0.014254859611231102,0.0035637149028077755,0.00031487213010843277
240,cynic,4.1,c,y,n,i,c,4,1,2,0.4185056070995225,0.08552915766738661,0.021382289416846653,7.59773216916232e-06
241,aroma,4.1,a,r,o,m,a,4,3,21,0.6888011753091844,0.06090712742980561,0.015226781857451403,2.9165149200170755e-05
242,caulk,4.34,c,a,u,l,k,1,2,12,0.4819753349637256,0.08552915766738661,0.021382289416846653,3.553138090480918e-06
243,shake,4.62,s,h,a,k,e,1,2,5,0.6591353273515355,0.15809935205183584,0.03952483801295896,9.880722787240128e-05
